date,symbol,open,high,low,close,Volume BTC,Volume USD
2020-06-03,BTC/USD,9522.5,9691.5,9395.0,9666.5,346.6350024828014,3350747.2515
2020-06-02,BTC/USD,10205.0,10230.5,9280.5,9522.5,1972.4295154686274,18782460.06105
2020-06-01,BTC/USD,9447.5,10425.5,9415.0,10205.0,1270.9173280156785,12969711.3324
2020-05-31,BTC/USD,9702.5,9709.5,9389.0,9447.5,771.1270043291876,7285222.3734
2020-05-30,BTC/USD,9424.0,9748.0,9335.5,9702.5,787.1555669208967,7637376.88805
2020-05-29,BTC/USD,9580.0,9607.0,9334.0,9424.0,725.2602774883278,6834852.85505
2020-05-28,BTC/USD,9205.0,9623.0,9115.0,9580.0,663.7628403601253,6358848.01065
2020-05-27,BTC/USD,8843.0,9229.5,8811.5,9205.0,466.74821304725685,4296417.3011
2020-05-26,BTC/USD,8900.5,9015.5,8695.0,8843.0,531.4101771231484,4699260.1963
2020-05-25,BTC/USD,8717.0,8979.0,8633.0,8900.5,441.3736202909949,3928445.9074
2020-05-24,BTC/USD,9174.0,9305.0,8682.5,8717.0,371.59488768498335,3239192.63595
2020-05-23,BTC/USD,9165.0,9314.0,9094.0,9174.0,176.9571505613691,1623404.89925
2020-05-22,BTC/USD,9060.0,9271.0,8930.5,9165.0,348.3286487343153,3192432.06565
2020-05-21,BTC/USD,9511.5,9566.5,8801.0,9060.0,386.37623123068425,3500568.65495
2020-05-20,BTC/USD,9783.0,9834.5,9293.0,9511.5,636.991362976397,6058743.34895
2020-05-19,BTC/USD,9731.0,9898.0,9457.5,9782.5,457.86597735752616,4479073.9235
2020-05-18,BTC/USD,9673.0,9955.0,9407.0,9731.0,790.3870125269756,7691256.0189
2020-05-17,BTC/USD,9385.0,9894.0,9327.5,9673.0,524.6271421430787,5074718.34595
2020-05-16,BTC/USD,9304.5,9584.5,9213.5,9385.0,629.6252035908365,5909032.5357
2020-05-15,BTC/USD,9795.5,9854.0,9107.0,9304.5,1311.6219784835291,12203986.6988
2020-05-14,BTC/USD,9326.0,9945.0,9267.0,9795.5,1496.078801883518,14654839.90385
2020-05-13,BTC/USD,8823.0,9416.0,8807.0,9326.0,622.6289248606048,5806637.35325
2020-05-12,BTC/USD,8578.5,8980.5,8540.0,8823.0,1124.7081151649097,9923299.7001
2020-05-11,BTC/USD,8729.0,9173.0,8199.0,8578.5,3119.6176957043767,26761640.4026
2020-05-10,BTC/USD,9535.5,9564.5,8111.0,8729.0,8924.920192421812,77905628.35965
2020-05-09,BTC/USD,9813.5,9918.5,9517.0,9535.5,1560.262389581039,14877882.01585
2020-05-08,BTC/USD,10003.5,10050.5,9729.5,9810.0,2631.527716702345,25815286.90085
2020-05-07,BTC/USD,9155.5,10076.5,9037.0,10004.5,4609.195702803738,46112698.4087
2020-05-06,BTC/USD,9030.0,9420.0,8922.5,9155.5,2695.0805046310957,24674809.56015
2020-05-05,BTC/USD,8889.0,9123.0,8762.5,9030.0,2411.185072740864,21773001.20685
2020-05-04,BTC/USD,8905.5,8971.0,8536.0,8889.0,1760.0482001349985,15645068.451
